protein_id,cluster,assignment_confidence
A0Q0A0,1,1.0
A0A1B0GUA5,0,0.9885156
A0A0N7CSQ4,0,0.97295254
A0A075B6K0,1,0.99992365
A0KL76,1,0.9989782
A0KNK7,1,1.0
A0A2K9RFZ7,1,0.9999543
A0A2S3XLU2,0,0.98101735
A0AIV2,0,0.9992678
A0QKM1,1,1.0
A0A1N7SYS3,0,0.7861556
A0LVP0,0,0.9332552
A0KJ40,1,0.9999695
A0LCZ1,1,1.0
A0QIB9,1,1.0
A0A2I6EDM5,0,1.0
A0PX89,1,0.9961317
A0A7H0DNB2,0,0.5404317
A0M2G8,1,1.0
A0A2K4Z9K4,0,1.0
A0A0R4IP11,1,1.0
A0JNG0,1,0.9971963
A0A0B4GDU5,1,0.9999695
A0KU81,1,1.0
A0A2G5ICA0,1,1.0
A0AJP7,1,1.0
A0KF24,1,0.9999695
A0A0U2D9C5,1,0.9999543
A0A0C1BV72,1,1.0
A0A075B6I9,1,1.0
A0A023IWK5,0,1.0
A0A0H3AL67,1,0.9985515
A0KZD8,1,1.0
A0JPB4,1,1.0
A0KJT2,1,0.9996948
A0QRI8,1,1.0
A0A455LLW0,1,1.0
A0RJT7,1,0.9999695
A0A4P8DJH6,1,0.99998474
A0AEM1,0,0.99681604
A0A0B4J2E0,1,1.0
A0A087X1C5,1,0.9952657
A0KSA9,1,1.0
A0R8J9,1,0.9999084
A0AGY4,1,1.0
A0B466,1,0.999939
A0A0M9ER62,1,1.0
A0A0E4AYE7,1,0.9719139
A0A481WQB6,1,1.0
A0RHL3,1,0.9943246
A0Q1B0,1,1.0
A0Q0Y0,1,0.99998474
A0LEC9,1,1.0
A0PJK1,1,1.0
A0B9X4,1,0.9999695
A0AMG4,0,0.99934417
A0A2U8U2L6,1,1.0
A0A0U5CJU6,1,1.0
A0M5H7,1,0.99983215
A0A1V0QSA9,1,0.9988257
A0A1L8H814,1,0.9923542
A0Q529,1,1.0
A0A455LN84,1,1.0
A0A1Z3GC64,1,0.9999543
A0A7S8MU55,0,0.98706853
A0A291PQF1,1,1.0
A0AIS2,1,1.0
A0A0B4J268,1,1.0
A0A088SG62,0,1.0
A0QKN5,1,1.0
A0LWU2,1,0.99964917
A0B577,1,0.99977106
A0M585,1,0.9999543
A0A140JWS2,1,0.999939
A0ALM3,1,1.0
A0A1X9ISH5,1,0.9999084
A0AQW4,0,1.0
A0KR77,1,1.0
A0A1D8PCW6,1,0.9987495
A0B880,0,0.99433976
A0A120KVW2,0,0.99992365
A0C574,0,0.7630269
A0K5U9,0,1.0
A0K2H5,1,0.9847669
A0LHM3,1,0.9910982
A0A182BSS3,0,1.0
A0A1B2CTB2,0,0.99376345
A0A075QQ08,1,0.9769691
A0RL96,1,0.9996644
A0A0E0SC50,1,0.9990391
A0PQ89,1,1.0
A0LJM6,0,0.9976834
A0A284RNH4,1,0.9958734
A0KEL1,1,1.0
A0RL90,1,0.7694808
A0A2Y9GHM3,0,1.0
A0AF63,1,0.99998474
A0KZT9,0,0.80164886
A0A509AWX2,0,0.9461888
A0A067XG71,0,0.999939
A0L5X5,1,1.0
A0B5E0,1,1.0
A0AJU3,1,1.0
A0PKG2,1,1.0
A0AI80,1,1.0
A0RHU0,0,0.9749439
A0Q0Z3,0,0.9820509
A0A067XH53,1,1.0
A0A1B4XBJ9,1,0.99998474
A0A0U5GK88,1,0.99998474
A0L2B4,1,1.0
A0A1B0GUC4,1,0.9966943
A0REW2,1,0.9710244
A0QQJ4,1,1.0
A0RI38,1,1.0
A0AJZ3,0,1.0
A0A0H2URJ6,1,1.0
A0LJ16,1,1.0
A0R8K8,1,0.9988106
A0R6Q0,1,0.9994051
A0KFR1,1,1.0
A0A067XMV2,1,1.0
A0A482AQV2,0,1.0
A0JP94,1,1.0
A0ALF8,1,1.0
A0A023GPJ0,0,0.9146041
A0RJJ7,1,1.0
A0A1V6P9U2,1,1.0
A0JMK5,1,1.0
A0KVX6,1,1.0
A0L5Y6,1,0.98250055
A0K9T8,1,0.98905873
A0M594,1,1.0
A0KLT5,1,1.0
A0K4S8,1,1.0
A0R8F9,1,1.0
A0PU35,1,0.81191564
A0ALU3,1,1.0
A0A140JWT8,1,1.0
A0A075B6V5,1,1.0
A0B870,1,0.9301134
A0K9C0,1,0.99998474
A0P9L2,0,0.93093693
A0KAK7,1,1.0
A0Q8H1,0,0.9861503
A0PQB8,1,1.0
A0KYA3,1,1.0
A0QHG7,1,0.7591712
A0A5Q0MUT1,0,1.0
A0Q5R0,1,1.0
A0JZ88,1,1.0
A0A386JVA3,1,0.8975302
A0Q9K2,1,0.9999084
A0PXR8,1,1.0
A0KRL6,0,1.0
A0A090XE98,0,0.8736141
A0QF50,1,1.0
A0JND2,0,0.99797267
A0AF28,1,1.0
A0QX20,1,1.0
A0LDT4,1,0.99981695
A0RHN9,1,1.0
A0PMW8,1,0.9999084
A0L407,1,0.9999543
A0AJE1,0,0.99750066
A0QJ48,1,0.84496754
A0AIU3,1,1.0
A0L0V1,1,1.0
A0PQD9,1,1.0
A0A2R6W1B1,0,0.9982468
A0K9L0,1,1.0
A0QI61,1,1.0
A0A6F8RQ72,1,1.0
A0A4R2TZQ0,1,0.9995119
A0A1U9YHZ1,1,1.0
A0KJ36,1,1.0
A0A0F7TN06,1,0.99998474
A0L627,1,1.0
A0L6F5,1,1.0
A0A0R4IBL7,0,0.7386487
A0A2U3YVN9,0,1.0
A0A0B5L778,1,0.95554715
A0QTV0,0,0.99846
A0QTK4,1,0.99998474
A0A172J1R7,1,1.0
A0NEF7,1,0.9971812
A0A3Q1N1R0,1,0.99497724
A0PSG4,1,0.9993288
A0AIS9,0,0.70521086
A0Q6X4,1,0.99998474
A0REX0,1,1.0
A0A3G3C7T9,0,1.0
A0AIW8,1,1.0
A0KUE8,1,1.0
A0KL61,1,1.0
A0KRK9,1,1.0
A0L5G7,0,0.98437625
A0A0C6DWS6,1,1.0
A0KN93,1,0.67528266
A0PQ63,1,0.9996948
A0LDT3,1,1.0
A0M3J8,1,1.0
A0QDH0,1,1.0
A0A023PYK2,0,1.0
A0A0B5AC19,1,0.9987191
A0PZN1,1,1.0
A0A0U2V7I8,1,1.0
A0A0H3FRB6,1,0.9999543
A0KS72,1,0.9987495
A0LNZ0,1,0.9999543
A0K8E2,1,0.99981695
A0A0P0ZEA9,1,0.99998474
A0M6J8,0,1.0
A0A075B6N3,1,1.0
A0KRP5,0,1.0
A0A316,0,1.0
A0A0K0MJ13,0,0.99868864
A0A1L8HBI7,1,0.9736802
A0Q870,1,1.0
A0AK80,1,1.0
A0R213,1,1.0
A0KSR7,1,0.5585917
A0K8U2,1,1.0
A0A3B6KF13,0,1.0
A0A411KZU9,1,0.9999695
A0A1B2CTA9,1,1.0
A0RIR1,1,1.0
A0LII1,1,1.0
A0L1Q7,1,1.0
A0A1D3PDD4,1,1.0
A0KRN9,1,1.0
A0A1L8I316,1,0.93643624
A0KTZ4,1,0.99981695
A0A075TRC0,1,0.99978644
A0LLH1,0,0.97533077
A0A1D8PCL1,1,1.0
A0A386CAB9,1,1.0
A0KSN0,1,1.0
A0A1S3XSG2,1,0.9899949
A0KYC0,0,0.99998474
A0RMK8,1,1.0
A0A0H2ZL64,1,0.9996186
A0Q6S3,0,0.9172316
A0B562,0,0.99885625
A0LH26,0,0.96630937
A0A0F9XJT1,1,1.0
A0Q4Z0,1,0.9998779
A0Q6L9,1,0.99998474
A0AJQ7,0,0.9024878
A0A411EW25,1,1.0
A0A401ETL2,1,0.9999695
A0PXL3,1,0.999939
A0KZ09,1,0.99998474
A0A0K2H5X8,0,0.9795665
A0QIY5,1,0.8168989
A0A6F8RNP4,1,1.0
A0JPH4,1,1.0
A0Q4H4,1,0.78140765
A0A0B4J244,1,1.0
A0KB51,1,1.0
A0A8B0RBM2,1,1.0
A0A125S9G2,0,0.9958278
A0QYY6,1,1.0
A0A455M2Y3,1,1.0
A0MD28,0,1.0
A0RIN0,1,1.0
A0A1D8PCG7,0,0.99868864
A0R8K3,0,0.9991763
A0A0F7Z3J2,0,0.9964055
A0A1E4S2P1,1,1.0
A0AXY5,1,1.0
A0A375,0,1.0
A0A7L9EZZ4,1,1.0
A0R8K5,1,1.0
A0LWR6,1,0.9999543
A0LXQ1,1,0.9987191
A0A3B3IT52,0,1.0
A0A345,0,1.0
A0A024B4E4,1,0.6756022
A0KW50,1,1.0
A0QZY5,1,1.0
A0R0B2,1,1.0
A0PMY7,1,1.0
A0PTP3,0,0.9595798
A0A3G9GNK2,1,0.9999695
A0A2Z4HPZ7,1,0.99998474
A0A0U5GFR4,1,1.0
A0CUB5,0,0.9661767
A0LZ30,1,1.0
A0Q635,1,0.99975586
A0JMI9,1,1.0
A0A3S5YBC7,1,1.0
A0MTA1,1,1.0
A0QBP0,1,1.0
A0A0P0C3P7,0,1.0
A0A141SFN5,0,1.0
A0A6G9KIT6,0,1.0
A0Q8C4,1,1.0
A0A084B9Z3,1,1.0
A0A6G9KH61,1,1.0
A0A1V6PAN1,1,1.0
A0K458,1,1.0
A0Q5J1,1,1.0
A0FGR9,1,1.0
A0A5F8MPU3,0,1.0
A0A125S9E4,0,0.5246443
A0AIG6,1,1.0
A0A2Z5TWF0,1,1.0
A0A0H3L1B8,1,0.9049424
A0B923,1,0.9017858
A0KU66,0,0.99992365
A0K3W0,1,0.99931353
A0LCK9,1,1.0
A0B9L1,0,1.0
A0A098DPY0,0,0.98140675
A0A087WUL8,0,1.0
A0KYY8,1,0.99978644
A0LL53,1,1.0
A0KBF2,1,1.0
A0PV23,1,1.0
A0KJD6,1,0.8823353
A0A097I2B5,0,0.9942336
A0QRN3,1,1.0
A0A1W6I186,0,1.0
A0RJ51,0,0.9171336
A0Q2Z9,0,1.0
A0A0S2E7W7,1,1.0
A0LEB5,1,1.0
A0Q8C5,1,1.0
A0Q2Z5,1,0.9966334
A0RHH9,1,0.9650716
A0A060L102,0,1.0
A0A140JWT6,1,0.9999084
A0A0H3JT74,1,0.9981554
A0A2I2F271,1,0.99998474
A0M284,1,0.723081
A0JYP1,1,0.9999543
A0L5X7,1,1.0
A0A8F5SIS3,1,0.9998627
A0A0K0K1C4,1,1.0
A0A3B7TNF2,0,1.0
A0KFE0,1,1.0
A0A0E3KBH3,1,0.99998474
A0M500,1,0.99998474
A0A1L9WLL5,1,0.99998474
A0A144LUY5,1,0.5826721
A0A144LVM3,1,0.9980639
A0A009IHW8,1,0.99998474
A0A061DM17,1,0.9219463
A0A096SRM5,1,0.999939
A0A455LXK6,1,0.9996339
A0Q5E0,1,1.0
A0A7H0DND6,0,1.0
A0A0R4IWI1,1,0.9999695
A0QND5,0,1.0
A0A0P1AL95,0,1.0
A0A3S7WQS5,1,0.99149156
A0A023PZM3,0,1.0
A0Q1Z2,1,1.0
A0A2I6PIZ9,1,1.0
A0R0W2,1,1.0
A0Q6U8,1,1.0
A0K2H3,1,0.99992365
A0A0H3PJL7,0,0.9973181
A0KQH8,1,1.0
A0A0K0K1E9,1,1.0
A0AEY1,0,1.0
A0AIG2,0,0.93727964
A0A3G9H2R5,1,1.0
A0QR01,1,1.0
A0A075TR33,1,0.9904935
A0PXD7,1,1.0
A0B3M8,1,1.0
A0K5U6,1,1.0
A0A7H0DNB9,0,0.7530449
A0PYC8,1,1.0
A0KQF1,1,0.9974398
A0A0U2IR85,1,0.99998474
A0QLS0,1,1.0
A0M8T5,1,1.0
A0A2U7XUE3,1,0.5880671
A0A0H3JRU9,1,1.0
A0RFW4,1,0.98535305
A0A1L5BU05,1,0.9871741
A0PM68,0,0.9976528
A0A1U8QVN4,0,0.99998474
A0A452E9Y6,1,0.96136785
A0QIQ9,1,1.0
A0KR28,1,1.0
A0A455R5P9,1,1.0
A0A1D6F7U7,0,1.0
A0A1J1DL12,1,1.0
A0QAU0,1,0.9814816
A0L3I9,1,0.9992526
A0A4Y6UQ63,1,1.0
A0LDF3,1,1.0
A0Q1R8,1,1.0
A0Q5D7,1,1.0
A0A5P9K9Z4,0,1.0
A0R0N3,0,1.0
A0A6S5ZZ88,1,1.0
A0QQV6,1,1.0
A0K3M8,1,0.99998474
A0A0H2XCS3,1,1.0
A0MH06,0,1.0
A0A1W2PPD8,1,0.99998474
A0AKU3,0,0.99992365
A0JSU9,1,0.9999543
A0KID0,1,0.9996796
A0A494C191,0,0.99998474
A0B2F6,1,1.0
A0RLA2,1,1.0
A0A1D8PIC7,1,0.99750066
A0ALP6,0,1.0
A0B3G1,1,0.9999695
A0R904,1,0.99998474
A0A161CAI1,1,0.99998474
A0AMG9,1,0.9999695
A0A1L9WLF2,1,1.0
A0A251PW43,0,1.0
A0Q4H2,1,0.9999543
A0A1L9WN49,1,1.0
A0RKM3,1,0.99981695
A0A0B5A7M7,0,1.0
A0A2I1BSV7,1,1.0
A0R2I8,1,0.5808346
A0LIV4,1,1.0
A0Q7M7,1,1.0
A0A1D8PDL6,0,0.9978813
A0A1B0GVG4,0,1.0
A0QIQ0,1,0.9948102
A0A1P8ATR9,1,1.0
A0R8W1,1,1.0
A0ALV0,1,0.9631738
A0RNH4,1,0.99750066
A0M5L6,1,1.0
A0LJZ1,1,1.0
A0QQ48,1,0.7520345
A0A0J9YX94,0,1.0
A0A0U1RRL7,0,1.0
A0Q8H0,1,0.97539026
A0A2I6PJ01,1,1.0
A0Q706,1,1.0
A0A023IWE0,0,1.0
A0A1D8PFL9,0,1.0
A0PV26,1,1.0
A0K729,1,1.0
A0A7H0DN17,0,0.99339956
A0A2P1BST7,0,0.9943549
A0Q2P9,1,1.0
A0K3N0,1,1.0
A0A179HLW2,1,1.0
A0AKC4,1,0.9839558
A0A0B5L781,1,1.0
A0Q8F2,1,0.9909168
A0A089FQI6,1,0.99998474
A0A481WR96,1,1.0
A0KNE2,1,0.99992365
A0KF25,1,1.0
A0Q115,1,1.0
A0A6C0WW38,1,0.93622196
A0A7H0DN43,0,1.0
A0AKE2,0,1.0
A0A2Z5CV93,1,1.0
A0KRL0,1,1.0
A0A3F2YED3,0,1.0
A0KJ58,0,0.99509877
A0A2J8C362,1,0.9542067
A0LRP8,1,1.0
A0A1D8PQN0,0,1.0
A0KPH6,1,1.0
A0A2U8U2L4,1,1.0
A0RJK8,1,1.0
A0A0M9ER64,1,1.0
A0A1W6EVN4,0,1.0
A0AKA1,1,1.0
A0A068Q609,1,0.9999084
A0A7H0DN44,0,0.92486286
A0KF09,1,0.92677
A0A151V4J3,1,0.99998474
A0CC46,1,0.9476048
A0RIV1,1,1.0
A0A023IWK7,0,1.0
A0A509AJL3,0,1.0
A0A0K1TQ05,1,0.9998627
A0B603,0,1.0
A0A0A2KMZ4,1,1.0
A0A0C9S461,0,0.99998474
A0MP03,1,1.0
A0A1B0GTH6,0,1.0
A0A2U8NEV6,1,1.0
A0A2Z5TTA9,1,0.9998474
A0RNK4,1,1.0
A0KZ20,1,0.61654294
A0A0A1GKA2,1,0.9990391
A0A335,0,1.0
A0PXV7,1,0.99998474
A0LYC3,1,1.0
A0QI91,1,1.0
A0A084API6,1,0.9996644
A0R8L2,1,1.0
A0A0A7AAW9,0,0.8129074
A0KPA3,1,1.0
A0A0G2K2P5,1,1.0
A0PXW1,1,0.99998474
A0M3P4,1,0.9743193
A0RB32,1,0.99992365
A0JVB0,1,1.0
A0A1U8QL22,1,0.99998474
A0KX58,1,1.0
A0PYB7,1,0.9382526
A0PV50,1,1.0
A0A098D8A0,1,1.0
A0A0H3JX98,1,1.0
A0ALL3,1,1.0
A0K8Z7,1,0.99059933
A0AH04,1,1.0
A0QIX1,1,0.9999695
A0RHU2,1,0.9954784
A0M4T5,0,0.9455682
A0A1M4BLT1,0,1.0
A0B8Y7,0,0.7842147
A0KU88,1,1.0
A0A166YZY4,1,0.99992365
A0A151EH88,1,1.0
A0A023PYD0,0,1.0
A0PPN3,1,1.0
A0A4Y6HUD7,0,0.83101755
A0Q6R5,1,1.0
A0L104,0,1.0
A0L833,1,0.9996796
A0A2S3R7M0,0,1.0
A0A0H3JGH6,1,1.0
A0Q4H1,1,1.0
A0LAG7,0,0.9998627
A0A384E126,0,0.9805535
A0A125QXJ1,1,1.0
A0K937,1,1.0
A0LNN5,1,0.99910015
A0FKI7,1,0.99905443
A0PPG7,1,1.0
A0A023PZC3,0,1.0
A0A0D2YG00,1,1.0
A0A1D8PDT3,0,0.9725963
A0A411PQN4,1,1.0
A0RD70,1,1.0
A0A5B8YU73,1,1.0
A0QJ99,1,1.0
A0A1S7LCW6,1,0.9999084
A0K4L6,1,1.0
A0A140JWT4,1,1.0
A0KGU1,1,0.99983215
A0KJA0,1,1.0
A0A2I8B353,0,1.0
A0PXT7,0,0.9997101
A0A4V1DXC4,1,1.0
A0Q8G9,1,1.0
A0PXK5,1,1.0
A0A325,0,1.0
A0A1Z2R986,1,0.99772906
A0KSE2,1,0.99978644
A0A6B9KZ83,0,0.9998779
A0A7J6KD88,1,1.0
A0LUC5,1,1.0
A0A1B0GTI1,1,0.9887871
A0A0P0XII1,1,1.0
A0K543,1,1.0
A0Q693,1,1.0
A0PTI1,0,1.0
A0A7U3TBV6,0,0.9996948
A0A6B9L8Y4,0,0.9995881
A0QFE1,1,0.99998474
A0JYG9,1,0.9999543
A0R1T4,1,1.0
A0KGI3,1,1.0
A0KQA5,1,0.9998931
A0LUC9,1,0.99983215
A0L253,1,1.0
A0A8D9UGU6,0,1.0
A0A1V0QSA8,1,0.99978644
A0A0U2UYC4,1,1.0
A0QWJ5,1,1.0
A0QFB5,1,0.999939
A0JZ81,1,0.9998931
A0A7H0DN37,0,1.0
A0Q4S3,0,0.99998474
A0A6G9KIF9,1,0.999939
A0JNJ5,1,0.865692
A0A023PZG9,0,1.0
A0A0F0I5G4,0,1.0
A0A7H0DNA3,0,1.0
A0AIR0,1,0.9736356
A0A098CZ12,1,1.0
A0A0S0MVI5,0,0.690053
A0A1C3YLL7,1,0.9991763
A0PXQ5,1,0.9999084
A0RKB5,1,1.0
A0PU27,1,1.0
A0A1B4XBH5,1,1.0
A0A353,0,1.0
A0LHM2,1,0.9998931
A0A1D8PTR4,0,1.0
A0RLB0,0,0.95430857
A0A355,0,1.0
A0A1X9QHJ0,1,1.0
A0A1E3P8S8,1,0.9999695
A0A139GI49,0,1.0
A0A411KUQ9,1,1.0
A0ALU1,1,0.99998474
A0A1V6PAF7,1,1.0
A0A0G0MF47,0,1.0
A0A2L2P6T9,0,0.7034161
A0B7E1,1,0.9998931
A0A0E3D8M6,1,1.0
A0A1D8PL68,0,1.0
A0R1B5,0,0.81081384
A0A1W5T1Y3,1,0.9602683
A0A1V6NXN7,1,0.7495027
A0A2V5GZ95,1,1.0
A0A385AJM4,1,0.9971659
A0A1L8HJK9,1,0.9961774
A0PM40,1,1.0
A0A6M3VWZ7,0,1.0
A0A1S1YUU1,1,1.0
A0LF67,1,1.0
A0A140NCB4,1,1.0
A0R8Z8,1,1.0
A0A455M7S4,1,1.0
A0A0F7TN65,1,0.9995271
A0PXV8,1,1.0
A0K3W4,1,0.98789734
A0LIY8,1,1.0
A0QL36,1,1.0
A0M376,1,0.99998474
A0KHR8,1,1.0
A0A3G9H185,1,1.0
A0KU91,1,1.0
A0A0B5A7N5,0,1.0
A0A2A5JY22,1,1.0
A0A023PXH4,0,1.0
