protein_id,cluster
A0QL17,1
A0A0R4IYX6,0
A0PK05,0
A0RHP5,1
A0RN89,1
A0A0N7D7C9,0
A0A0U1LSP0,0
A0A084B9Z2,0
A0A1S4DFD3,1
A0QJU9,1
A0A2R8Q3S9,0
A0RKC7,1
A0K834,1
A0AF21,1
A0A161CEV4,0
A0JMD4,0
A0LLG2,0
A0R890,1
A0A023PXJ7,0
A0QLP6,1
A0A2I6PJ13,0
A0A3G1DJJ8,0
A0AKD5,1
A0AG21,0
A0RIH3,1
A0PQ75,1
A0A1D3PCJ5,0
A0A0B0QJN8,0
A0LTZ0,1
A0A0M3KKW3,0
A0JWX8,1
A0Q6F0,1
A0A0C1EFK1,0
A0B9K5,0
A0A8I3S9V6,0
A0Q2L0,1
A0A5P9NYS6,0
A0A0B5A8Q2,0
A0Q5I2,1
A0B7V2,1
A0A087WSY6,0
A0A8K1AW52,0
A0QI38,1
A0A8I3NQW8,0
A0AKG4,0
A0JY66,1
A0Q696,1
A0A1D8PEL1,0
A0A0H3H456,1
A0A5C1REZ4,1
A0A4R2UGS4,0
A0A0D1CVS5,0
A0QRJ0,1
A0L3K3,1
A0RLN8,1
A0Q5M6,1
A0A3Q2UEI8,0
A0KY04,1
A0JND4,0
A0ALV5,1
A0A2G5ID46,0
A0LGM1,1
A0LRK0,1
A0PX13,1
A0M5U1,1
A0R200,1
A0LZH4,1
A0A0B5ABD5,0
A0A2Z5XAS1,0
A0KAU6,1
A0AJM6,1
A0A087WVF3,0
A0A193H362,0
A0A1D8PK71,0
A0A0N8YGA2,0
A0A7H0DND3,0
A0KRL7,1
A0B6X3,1
A0K866,1
A0B9V0,1
A0A1B0GTZ2,0
A0QR29,0
A0A125S9E2,0
A0A6M3QG69,1
A0KIK9,1
A0KQ25,1
A0A0P1DJE3,0
A0R921,1
A0PPW9,1
A0A072VPZ8,1
A0QL99,1
A0A0G2Q9D6,1
A0QA95,1
A0KGH8,1
A0QQ98,1
A0A089FNE5,0
A0A330KW27,0
A0R664,1
A0QV47,1
A0QMC8,0
A0PMB4,1
A0A179H0I3,0
A0RBL2,1
A0A447CCJ8,0
A0QV16,1
A0A084R1K6,0
A0L678,1
A0A1B0GTD5,0
A0Q4I6,1
A0A1B0GV90,0
A0JPQ9,0
A0NBD9,0
A0M6K0,1
A0QNJ5,0
A0A2P1DP91,0
A0A348B784,0
A0M4Z3,1
A0LEB7,1
A0KW24,1
A0A075B6U4,0
A0Q0A0,1
A0A1B0GUA5,0
A0A0N7CSQ4,0
A0A075B6K0,0
A0KL76,1
A0KNK7,1
A0A2K9RFZ7,0
A0A2S3XLU2,0
A0AIV2,0
A0QKM1,1
A0A1N7SYS3,0
A0LVP0,1
A0KJ40,1
A0LCZ1,1
A0QIB9,1
A0A2I6EDM5,0
A0PX89,1
A0A7H0DNB2,0
A0M2G8,1
A0A2K4Z9K4,0
A0A0R4IP11,0
A0JNG0,0
A0A0B4GDU5,0
A0KU81,1
A0A2G5ICA0,0
A0AJP7,1
A0KF24,1
A0A0U2D9C5,0
A0A0C1BV72,0
A0A075B6I9,0
A0A023IWK5,0
A0A0H3AL67,1
A0KZD8,1
A0JPB4,0
A0KJT2,1
A0QRI8,1
A0A455LLW0,0
A0RJT7,1
A0A4P8DJH6,0
A0AEM1,1
A0A0B4J2E0,0
A0A087X1C5,0
A0KSA9,1
A0R8J9,1
A0AGY4,1
A0B466,1
A0A0M9ER62,0
A0A0E4AYE7,0
A0A481WQB6,0
A0RHL3,1
A0Q1B0,1
A0Q0Y0,1
A0LEC9,1
A0PJK1,0
A0B9X4,1
A0AMG4,1
A0A2U8U2L6,0
A0A0U5CJU6,0
A0M5H7,1
A0A1V0QSA9,0
A0A1L8H814,0
A0Q529,1
A0A455LN84,0
A0A1Z3GC64,0
A0A7S8MU55,0
A0A291PQF1,0
A0AIS2,1
A0A0B4J268,0
A0A088SG62,0
A0QKN5,1
A0LWU2,1
A0B577,1
A0M585,1
A0A140JWS2,0
A0ALM3,1
A0A1X9ISH5,0
A0AQW4,0
A0KR77,1
A0A1D8PCW6,1
A0B880,0
A0A120KVW2,0
A0C574,1
A0K5U9,1
A0K2H5,1
A0LHM3,1
A0A182BSS3,0
A0A1B2CTB2,0
A0A075QQ08,0
A0RL96,1
A0A0E0SC50,0
A0PQ89,1
A0LJM6,1
A0A284RNH4,0
A0KEL1,1
A0RL90,1
A0A2Y9GHM3,0
A0AF63,1
A0KZT9,1
A0A509AWX2,0
A0A067XG71,0
A0L5X5,1
A0B5E0,1
A0AJU3,1
A0PKG2,1
A0AI80,1
A0RHU0,0
A0Q0Z3,1
A0A067XH53,1
A0A1B4XBJ9,0
A0A0U5GK88,0
A0L2B4,1
A0A1B0GUC4,0
A0REW2,0
A0QQJ4,1
A0RI38,1
A0AJZ3,0
A0A0H2URJ6,0
A0LJ16,0
A0R8K8,1
A0R6Q0,1
A0KFR1,1
A0A067XMV2,0
A0A482AQV2,0
A0JP94,0
A0ALF8,1
A0A023GPJ0,0
A0RJJ7,1
A0A1V6P9U2,0
A0JMK5,0
A0KVX6,1
A0L5Y6,1
A0K9T8,1
A0M594,1
A0KLT5,1
A0K4S8,1
A0R8F9,1
A0PU35,1
A0ALU3,1
A0A140JWT8,0
A0A075B6V5,0
A0B870,0
A0K9C0,1
A0P9L2,0
A0KAK7,1
A0Q8H1,1
A0PQB8,1
A0KYA3,1
A0QHG7,1
A0A5Q0MUT1,0
A0Q5R0,1
A0JZ88,1
A0A386JVA3,0
A0Q9K2,1
A0PXR8,1
A0KRL6,1
A0A090XE98,0
A0QF50,1
A0JND2,0
A0AF28,1
A0QX20,1
A0LDT4,1
A0RHN9,1
A0PMW8,1
A0L407,1
A0AJE1,0
A0QJ48,1
A0AIU3,1
A0L0V1,1
A0PQD9,1
A0A2R6W1B1,0
A0K9L0,1
A0QI61,1
A0A6F8RQ72,0
A0A4R2TZQ0,0
A0A1U9YHZ1,0
A0KJ36,1
A0A0F7TN06,0
A0L627,1
A0L6F5,1
A0A0R4IBL7,0
A0A2U3YVN9,0
A0A0B5L778,0
A0QTV0,0
A0QTK4,0
A0A172J1R7,1
A0NEF7,0
A0A3Q1N1R0,0
A0PSG4,1
A0AIS9,1
A0Q6X4,0
A0REX0,1
A0A3G3C7T9,0
A0AIW8,1
A0KUE8,1
A0KL61,1
A0KRK9,1
A0L5G7,1
A0A0C6DWS6,0
A0KN93,1
A0PQ63,1
A0LDT3,1
A0M3J8,1
A0QDH0,1
A0A023PYK2,0
A0A0B5AC19,0
A0PZN1,1
A0A0U2V7I8,0
A0A0H3FRB6,1
A0KS72,0
A0LNZ0,1
A0K8E2,1
A0A0P0ZEA9,0
A0M6J8,1
A0A075B6N3,0
A0KRP5,1
A0A316,0
A0A0K0MJ13,1
A0A1L8HBI7,0
A0Q870,1
A0AK80,1
A0R213,1
A0KSR7,1
A0K8U2,1
A0A3B6KF13,0
A0A411KZU9,0
A0A1B2CTA9,0
A0RIR1,1
A0LII1,1
A0L1Q7,1
A0A1D3PDD4,0
A0KRN9,1
A0A1L8I316,0
A0KTZ4,1
A0A075TRC0,0
A0LLH1,1
A0A1D8PCL1,0
A0A386CAB9,0
A0KSN0,1
A0A1S3XSG2,0
A0KYC0,1
A0RMK8,1
A0A0H2ZL64,0
A0Q6S3,1
A0B562,1
A0LH26,1
A0A0F9XJT1,0
A0Q4Z0,1
A0Q6L9,1
A0AJQ7,0
A0A411EW25,0
A0A401ETL2,0
A0PXL3,1
A0KZ09,1
A0A0K2H5X8,0
A0QIY5,1
A0A6F8RNP4,0
A0JPH4,0
A0Q4H4,1
A0A0B4J244,0
A0KB51,1
A0A8B0RBM2,0
A0A125S9G2,0
A0QYY6,1
A0A455M2Y3,0
A0MD28,0
A0RIN0,1
A0A1D8PCG7,1
A0R8K3,1
A0A0F7Z3J2,0
A0A1E4S2P1,0
A0AXY5,1
A0A375,1
A0A7L9EZZ4,0
A0R8K5,1
A0LWR6,1
A0LXQ1,1
A0A3B3IT52,0
A0A345,0
A0A024B4E4,0
A0KW50,1
A0QZY5,1
A0R0B2,1
A0PMY7,0
A0PTP3,1
A0A3G9GNK2,0
A0A2Z4HPZ7,0
A0A0U5GFR4,0
A0CUB5,1
A0LZ30,1
A0Q635,0
A0JMI9,1
A0A3S5YBC7,0
A0MTA1,1
A0QBP0,1
A0A0P0C3P7,0
A0A141SFN5,0
A0A6G9KIT6,0
A0Q8C4,1
A0A084B9Z3,0
A0A6G9KH61,0
A0A1V6PAN1,0
A0K458,1
A0Q5J1,1
A0FGR9,0
A0A5F8MPU3,0
A0A125S9E4,0
A0AIG6,1
A0A2Z5TWF0,0
A0A0H3L1B8,0
A0B923,1
A0KU66,1
A0K3W0,1
A0LCK9,1
A0B9L1,1
A0A098DPY0,0
A0A087WUL8,0
A0KYY8,1
A0LL53,1
A0KBF2,1
A0PV23,1
A0KJD6,1
A0A097I2B5,0
A0QRN3,1
A0A1W6I186,0
A0RJ51,1
A0Q2Z9,1
A0A0S2E7W7,0
A0LEB5,1
A0Q8C5,1
A0Q2Z5,1
A0RHH9,1
A0A060L102,0
A0A140JWT6,0
A0A0H3JT74,1
A0A2I2F271,0
A0M284,1
A0JYP1,1
A0L5X7,1
A0A8F5SIS3,1
A0A0K0K1C4,0
A0A3B7TNF2,0
A0KFE0,1
A0A0E3KBH3,1
A0M500,1
A0A1L9WLL5,0
A0A144LUY5,0
A0A144LVM3,0
A0A009IHW8,0
A0A061DM17,0
A0A096SRM5,0
A0A455LXK6,0
A0Q5E0,1
A0A7H0DND6,0
A0A0R4IWI1,0
A0QND5,1
A0A0P1AL95,0
A0A3S7WQS5,0
A0A023PZM3,0
A0Q1Z2,1
A0A2I6PIZ9,0
A0R0W2,1
A0Q6U8,1
A0K2H3,1
A0A0H3PJL7,0
A0KQH8,1
A0A0K0K1E9,0
A0AEY1,0
A0AIG2,1
A0A3G9H2R5,0
A0QR01,1
A0A075TR33,0
A0PXD7,1
A0B3M8,1
A0K5U6,1
A0A7H0DNB9,0
A0PYC8,1
A0KQF1,1
A0A0U2IR85,0
A0QLS0,1
A0M8T5,0
A0A2U7XUE3,0
A0A0H3JRU9,1
A0RFW4,0
A0A1L5BU05,1
A0PM68,1
A0A1U8QVN4,0
A0A452E9Y6,0
A0QIQ9,1
A0KR28,1
A0A455R5P9,0
A0A1D6F7U7,0
A0A1J1DL12,1
A0QAU0,1
A0L3I9,1
A0A4Y6UQ63,0
A0LDF3,1
A0Q1R8,1
A0Q5D7,1
A0A5P9K9Z4,0
A0R0N3,0
A0A6S5ZZ88,0
A0QQV6,1
A0K3M8,1
A0A0H2XCS3,0
A0MH06,0
A0A1W2PPD8,0
A0AKU3,0
A0JSU9,1
A0KID0,1
A0A494C191,0
A0B2F6,1
A0RLA2,1
A0A1D8PIC7,0
A0ALP6,0
A0B3G1,1
A0R904,0
A0A161CAI1,0
A0AMG9,0
A0A1L9WLF2,0
A0A251PW43,0
A0Q4H2,1
A0A1L9WN49,0
A0RKM3,1
A0A0B5A7M7,0
A0A2I1BSV7,0
A0R2I8,0
A0LIV4,1
A0Q7M7,1
A0A1D8PDL6,1
A0A1B0GVG4,0
A0QIQ0,1
A0A1P8ATR9,0
A0R8W1,1
A0ALV0,1
A0RNH4,1
A0M5L6,1
A0LJZ1,1
A0QQ48,0
A0A0J9YX94,0
A0A0U1RRL7,0
A0Q8H0,1
A0A2I6PJ01,0
A0Q706,1
A0A023IWE0,0
A0A1D8PFL9,1
A0PV26,1
A0K729,1
A0A7H0DN17,0
A0A2P1BST7,0
A0Q2P9,1
A0K3N0,1
A0A179HLW2,0
A0AKC4,0
A0A0B5L781,0
A0Q8F2,1
A0A089FQI6,0
A0A481WR96,0
A0KNE2,1
A0KF25,1
A0Q115,1
A0A6C0WW38,0
A0A7H0DN43,0
A0AKE2,1
A0A2Z5CV93,0
A0KRL0,1
A0A3F2YED3,0
A0KJ58,1
A0A2J8C362,0
A0LRP8,1
A0A1D8PQN0,1
A0KPH6,1
A0A2U8U2L4,0
A0RJK8,1
A0A0M9ER64,0
A0A1W6EVN4,0
A0AKA1,1
A0A068Q609,0
A0A7H0DN44,0
A0KF09,1
A0A151V4J3,0
A0CC46,0
A0RIV1,1
A0A023IWK7,0
A0A509AJL3,0
A0A0K1TQ05,1
A0B603,1
A0A0A2KMZ4,0
A0A0C9S461,0
A0MP03,1
A0A1B0GTH6,0
A0A2U8NEV6,0
A0A2Z5TTA9,0
A0RNK4,1
A0KZ20,1
A0A0A1GKA2,1
A0A335,1
A0PXV7,1
A0LYC3,1
A0QI91,1
A0A084API6,0
A0R8L2,1
A0A0A7AAW9,0
A0KPA3,1
A0A0G2K2P5,0
A0PXW1,1
A0M3P4,1
A0RB32,1
A0JVB0,1
A0A1U8QL22,0
A0KX58,1
A0PYB7,1
A0PV50,1
A0A098D8A0,0
A0A0H3JX98,0
A0ALL3,1
A0K8Z7,1
A0AH04,1
A0QIX1,1
A0RHU2,0
A0M4T5,1
A0A1M4BLT1,0
A0B8Y7,0
A0KU88,1
A0A166YZY4,0
A0A151EH88,0
A0A023PYD0,0
A0PPN3,1
A0A4Y6HUD7,0
A0Q6R5,1
A0L104,1
A0L833,1
A0A2S3R7M0,0
A0A0H3JGH6,1
A0Q4H1,1
A0LAG7,1
A0A384E126,0
A0A125QXJ1,0
A0K937,1
A0LNN5,1
A0FKI7,0
A0PPG7,1
A0A023PZC3,0
A0A0D2YG00,0
A0A1D8PDT3,1
A0A411PQN4,0
A0RD70,1
A0A5B8YU73,0
A0QJ99,1
A0A1S7LCW6,0
A0K4L6,1
A0A140JWT4,0
A0KGU1,0
A0KJA0,1
A0A2I8B353,0
A0PXT7,1
A0A4V1DXC4,0
A0Q8G9,1
A0PXK5,1
A0A325,0
A0A1Z2R986,0
A0KSE2,1
A0A6B9KZ83,0
A0A7J6KD88,0
A0LUC5,1
A0A1B0GTI1,0
A0A0P0XII1,0
A0K543,1
A0Q693,1
A0PTI1,1
A0A7U3TBV6,0
A0A6B9L8Y4,0
A0QFE1,1
A0JYG9,0
A0R1T4,1
A0KGI3,1
A0KQA5,1
A0LUC9,1
A0L253,1
A0A8D9UGU6,0
A0A1V0QSA8,0
A0A0U2UYC4,1
A0QWJ5,1
A0QFB5,1
A0JZ81,1
A0A7H0DN37,0
A0Q4S3,1
A0A6G9KIF9,0
A0JNJ5,1
A0A023PZG9,0
A0A0F0I5G4,0
A0A7H0DNA3,0
A0AIR0,1
A0A098CZ12,0
A0A0S0MVI5,0
A0A1C3YLL7,0
A0PXQ5,1
A0RKB5,1
A0PU27,1
A0A1B4XBH5,0
A0A353,0
A0LHM2,1
A0A1D8PTR4,1
A0RLB0,1
A0A355,0
A0A1X9QHJ0,0
A0A1E3P8S8,0
A0A139GI49,0
A0A411KUQ9,1
A0ALU1,1
A0A1V6PAF7,0
A0A0G0MF47,0
A0A2L2P6T9,0
A0B7E1,1
A0A0E3D8M6,0
A0A1D8PL68,1
A0R1B5,0
A0A1W5T1Y3,0
A0A1V6NXN7,0
A0A2V5GZ95,0
A0A385AJM4,0
A0A1L8HJK9,0
A0PM40,1
A0A6M3VWZ7,0
A0A1S1YUU1,0
A0LF67,1
A0A140NCB4,1
A0R8Z8,1
A0A455M7S4,0
A0A0F7TN65,0
A0PXV8,1
A0K3W4,0
A0LIY8,1
A0QL36,1
A0M376,1
A0KHR8,1
A0A3G9H185,0
A0KU91,1
A0A0B5A7N5,0
A0A2A5JY22,1
A0A023PXH4,0
A0LK21,1
A0A6B9L900,0
A0A7H0DNF7,0
A0A075B706,0
A0JXB1,1
A0LLH7,1
A0A5C1RF03,0
A0K577,1
A0A3T2V133,0
A0A0E4AY46,0
A0A078ISJ6,1
A0AI87,1
A0A0B4L1W8,0
A0AII5,1
A0A0H3NK84,0
A0A1L5BUX8,0
A0A2U9GHG9,0
A0Q8D9,1
A0KK62,1
A0A2H5AIX5,1
A0A142BX74,0
A0RMD6,1
A0PXX3,1
A0KBI0,1
A0A218QWY8,0
A0A0D1C1H8,0
A0A096XJN4,0
A0A3B3IU63,0
A0KS60,1
A0PLU9,1
A0A0U5GJ41,0
A0RM99,1
A0KLP0,1
A0KZP6,1
A0A1E4S2N7,0
A0A6M3Z4E7,0
A0RMK6,1
A0A885,0
A0JPK3,0
A0PKB4,1
A0A0D2YFZ7,0
A0L1J9,1
A0A1U8QLG8,0
A0A4P8DJV2,0
A0A384JQF5,1
A0LIK4,1
A0AKX6,0
A0KNU5,0
A0LY87,1
A0A0B4FAW4,0
A0A150XSR0,0
A0KIV0,0
A0A075B6Y3,0
A0M8V0,1
A0AG16,1
A0K3V4,1
A0QL14,1
A0Q842,1
A0A3B3IT33,0
A0AIZ4,0
A0A0R4IDX9,0
A0KN28,1
A0QVI7,1
A0KWF0,0
A0QRG8,1
A0A2I6PJ08,0
A0A443HJY8,0
A0KF38,1
A0KKK7,1
A0A140JWT2,0
A0M3L3,1
A0KGM6,1
A0LHJ3,1
A0JMQ0,0
A0M3Z6,1
A0A7H0DNE9,0
A0R018,1
A0A5C1RDA3,0
A0A1V0QSE8,0
A0JWN0,1
A0LAG9,1
A0B5P3,1
A0A075B6S0,0
A0BKG2,0
A0JMU8,0
A0A284RE13,0
A0KSI2,1
A0A2R8Y2Y2,0
A0JN87,1
A0A3G9HB50,0
A0PVP6,1
A0PQ79,1
A0A1V0HUU2,0
A0LSX5,1
A0L516,1
A0Q8G4,1
A0A1B0GRQ0,0
A0K437,1
A0L4W0,1
A0A455LLW5,0
A0A0U8UFF4,0
A0A1U8QK63,0
A0KHV1,1
A0A0U5GHH9,0
A0A345BJP1,0
A0PLU7,1
A0QAT1,1
A0A1B0GTU2,0
A0A1D8PNP3,0
A0A075B6R0,0
A0PYX6,1
A0LSV2,1
A0A4P8DJW8,1
A0A3T0QHS4,0
A0A0J5WTU0,0
A0A067XMK8,0
A0A1D6GDY8,0
A0A1D8PH21,1
A0A1D8PG16,1
A0LPG2,1
A0KF07,1
A0A391NZA8,0
A0PYW1,1
A0JX76,1
A0LJ00,1
A0A0B5A7N8,0
A0A340,1
A0JN86,0
A0A2R4LMF9,0
A0KX28,1
A0Q5I9,1
A0K5Q6,1
A0A140F3K7,0
A0QS30,1
A0A087WT02,0
A0A3G9K3N1,0
A0LTM0,1
A0A0U5GQ05,0
A0JXW1,1
A0JC77,1
A0QHB4,1
A0AJW1,1
A0QU33,1
A0KF31,1
A0A4P8DK01,0
A0A2I1C3Y3,0
A0RDM5,1
A0A345BJN5,0
A0Q864,1
A0A0H2VAP9,1
A0JNC4,0
A0LI20,1
A0KUJ2,1
A0A0J9YXQ4,0
A0A3G1QTU5,0
A0PWM1,1
A0RMD0,1
A0A3B1EFQ1,1
A0JMK8,0
A0A0B4J262,0
A0M7D3,1
A0A0U3LQ20,0
A0A0D1DYJ6,0
A0A3B3IS91,0
A0LI08,1
A0A315,1
A0A2Z5Z9H5,0
A0KHH3,1
A0A1B2LS07,0
A0RET0,1
A0Q6A6,1
A0AIU5,1
A0A0B5ABE6,0
A0Q388,1
A0A1V6NWP3,0
A0A023IWK6,0
A0JNQ6,0
A0A1L9WQN2,0
A0R518,1
A0A1S3ZQ17,0
A0A023PXP4,0
A0A024B7I0,0
A0L113,1
A0QDI7,1
A0A5P8DI06,0
A0A3Q8GYY4,0
A0A7J6K338,0
A0A0P0BZQ8,0
A0A023PYJ0,0
A0R8U9,1
A0LCX6,1
A0A023W163,0
A0PM64,1
A0QL10,1
A0A286YFB4,0
A0A379,0
A0ALD9,1
A0A7H0DN22,0
A0A0H3CEP9,1
A0QHY0,1
A0A0S2IHL2,0
A0KKW8,1
A0K3P4,1
A0A411PQN9,0
A0A7G5KLV2,0
A0LL24,1
A0A0H2XG66,0
A0A336U965,0
A0B6C9,1
A0A023PXK7,0
A0KJU2,1
A0RNT0,1
A0ALW8,1
A0AGM5,0
A0A0E4AE82,0
A0QNJ3,0
A0A023PXF5,0
A0Q099,1
A0A075TRL5,0
A0A1S4D1D3,0
A0QV01,1
A0KKD3,1
A0B5J1,1
A0A2K9RG08,0
A0A0B4J277,0
A0RBM1,1
A0QTU8,0
A0AIG0,1
A0A2I1C3T5,1
A0A0K3AV08,0
A0QGP2,1
A0B6X8,1
A0JPB5,0
A0JM56,0
A0A1B1WAJ0,0
A0KNV3,1
A0A2H3D1U1,0
A0B7W4,1
A0A2G5I8H1,0
A0A1L8G016,0
A0QXE4,1
A0KCF0,1
A0KVI3,0
A0A0S6XAX9,0
A0A0C6DRT7,0
A0QJV4,1
A0KMP9,1
A0JUZ7,1
A0QTU9,1
A0KZN2,1
A0R980,1
A0M367,1
A0L1J8,1
A0JZ10,1
A0R1Y4,1
A0LRF2,1
A0A060L4I9,0
A0L5N9,1
A0A0H2ZQL5,0
A0A023IWM6,0
A0A0H3CC47,0
A0A084R1M6,0
A0A0B4J1N3,0
A0A2R6P624,0
A0A384JIP2,0
A0Q4H7,1
A0KF23,1
A0A385AJM6,0
A0PYB3,1
A0B9P3,0
A0A2Y9HRM2,0
A0KFV3,1
A0Q5W0,1
A0A1I9LMX5,0
A0R8H8,1
A0A0H2VCA1,1
A0KAG0,1
A0B5W6,0
A0Q0Z7,0
A0KXU4,1
A0A0D1E6L2,0
A0KW27,1
A0B8P7,1
A0AIG8,1
A0RMM6,1
A0RAB9,1
A0KAS6,1
A0QU81,0
A0LEQ3,1
A0KRQ2,1
A0PM81,1
A0LE14,1
A0A075B6Q5,0
A0RHL7,1
A0A1L9URE0,0
A0QSS4,1
A0A0A7HB61,0
A0A455LM26,0
A0JYZ6,1
A0A1U7QUM6,0
A0A0C4DH68,0
A0A0U1RGY0,1
A0R8G1,1
A0PXA8,1
A0A1L9UR19,0
A0PNH7,1
A0Q3U6,1
A0PXV2,1
A0K8R4,1
A0PM24,1
A0B8J2,1
A0A096P2H6,0
A0PRE9,0
A0A1D8PNQ6,1
A0QIY2,1
A0KZR5,1
A0AAR7,0
A0Q6H3,1
A0KRP6,1
A0K486,1
A0QU35,1
A0A0H3KAV3,0
A0JMY4,0
A0A7H0DN97,0
A0A084API3,0
A0KEX6,1
A0QAB4,1
A0R5K4,0
A0Q2Q9,1
A0A0B5LB52,0
A0AG36,1
A0PP05,1
A0QRF3,0
A0B9L2,1
A0L481,1
A0A0H3JXA3,1
A0A067YBQ3,0
A0JZ68,1
A0L4S0,1
A0K833,1
A0RI44,0
A0PT80,1
A0Q060,1
A0KEG9,1
A0LTX3,1
A0LVS5,0
A0Q5Y6,0
A0A3S9NM20,0
A0QZY0,1
A0Q6Y1,1
A0A0C4DH34,0
A0K2V4,1
A0K8D3,1
A0K476,1
A0A2Z5CVQ4,0
A0A023IWD9,0
A0A023FFB5,0
A0B5L3,0
A0R8A3,1
A0AJ48,1
A0A1P8NVU1,0
A0JVK2,1
A0A1D6IEG9,0
A0A8C2MDK8,0
A0LDR7,1
A0A095C325,0
A0QU29,1
A0LU53,1
A0A349,0
A0A1E3B0T2,0
A0A067XMP1,0
A0A411KUU5,0
A0A1L6Z3A5,0
A0A321,0
A0KHC9,1
A0K3Q6,1
A0A0E4FKF7,0
A0KRN5,1
A0A140N890,1
A0QFS9,1
A0Q4K0,1
A0R3H2,1
A0PQE7,1
A0A097SRX8,0
A0QL35,1
A0PY57,1
A0RB61,1
A0LEH2,1
A0Q7F4,1
A0A023FT45,0
A0A1S4NYE4,0
A0A0K8RE99,0
A0LPF9,1
A0K4Y3,1
A0A6B7FA07,0
A0A4Z3,0
A0A7H0DN24,0
A0QCX6,1
A0A061FKL9,0
A0B7H6,1
A0Q150,0
A0A517FND3,0
A0LIZ8,1
A0A1L9WVI3,0
A0QSG0,1
A0A069CUU9,0
A0AL16,0
A0JZ93,1
A0LW38,1
A0KJD8,1
A0KHV5,1
A0A0A6YYL3,0
A0A0D1E015,0
A0Q4J8,1
A0A7H0DN28,0
A0A075B6J6,0
A0A084R1I4,0
A0M575,1
A0A072VMJ3,0
A0RK86,1
A0Q7Q7,1
A0A023PXB9,0
A0AHH9,0
A0LIK5,1
A0K6X6,1
A0KG33,1
A0A1V1FNM9,0
A0KR64,0
A0KFC0,1
A0A0D2Y4S0,0
A0QNG6,1
A0QJH8,1
A0QGN7,1
A0PR48,1
A0L5Y7,1
A0A0M4FMK2,0
A0PNH1,1
A0A075B6I1,0
A0A023W123,0
A0AIF0,1
A0A4V1E8I5,0
A0AIG3,1
A0PKF8,1
